Date/Time,Electricity:Facility [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:HVAC [J](RunPeriod) 
December,8865547488.29183,589945302.9720482,8865547488.29183,589945302.9720482 
July,6371273126.341439,1162601444.5850608,6371273126.341439,1162601444.5850608 
January,279270729467.1689,33733161122.610138,279270729467.1689,33733161122.610138 
July,187502534364.85382,26035330686.63234,187502534364.85382,26035330686.63234 
